Name,Year,gdp_per_capita,co2_per_capita,normalised_size
Africa,1952,1483.726451,0.4743900755,0.7319390632
Africa,1953,1508.650358,0.4879388348,0.7324912292
Africa,1954,1533.796518,0.5016848487,0.7343106183
Africa,1955,1559.193555,0.5156724926,0.7381903277
Africa,1956,1584.85621,0.5299521011,0.7400518438
Africa,1957,1610.784776,0.5445638108,0.742155584
Africa,1958,1636.961879,0.5595295276,0.7444458127
Africa,1959,1663.349938,0.5748407404,0.7441735949
Africa,1960,1689.895655,0.5904350969,0.7469892805
Africa,1961,1716.5195,0.6061720952,0.7487477658
Africa,1962,1743.187897,0.6218205722,0.7501377959
Africa,1963,1770.567825,0.637507555,0.7533433403
Africa,1964,1804.843301,0.6598593624,0.758850031
Africa,1965,1842.333038,0.6851522069,0.7651672855
Africa,1966,1882.428843,0.7133629684,0.7675041772
Africa,1967,1923.966816,0.7437404224,0.7724645328
Africa,1968,1966.019747,0.7752316057,0.7787801406
Africa,1969,2008.04314,0.8067777869,0.7850600615
Africa,1970,2049.604944,0.8378467206,0.7925779
Africa,1971,2090.586647,0.868439275,0.8014253606
Africa,1972,2131.071189,0.8988161381,0.8074224507
Africa,1973,2170.556674,0.9290026854,0.8151843737
Africa,1974,2207.725708,0.9586872347,0.8182198269
Africa,1975,2240.678752,0.9873475601,0.8178605634
Africa,1976,2267.829237,1.014616224,0.8275268842
Africa,1977,2288.862757,1.040409665,0.8312159993
Africa,1978,2304.414899,1.064840272,0.8397904772
Africa,1979,2315.432407,1.08802859,0.8502711273
Africa,1980,2323.000983,1.110006758,0.8605039646
Africa,1981,2327.789455,1.130334635,0.864257697
Africa,1982,2329.980025,1.148982249,0.870580588
Africa,1983,2329.658585,1.165603701,0.8768269965
Africa,1984,2326.884892,1.179552366,0.8918419141
Africa,1985,2321.959826,1.189622138,0.8962032738
Africa,1986,2316.094892,1.193979288,0.9026290824
Africa,1987,2311.121596,1.194012665,0.902632289
Africa,1988,2309.751901,1.193687786,0.9119005263
Africa,1989,2314.622657,1.1945257,0.9047956682
Africa,1990,2326.859299,1.195489723,0.894213182
Africa,1991,2346.10436,1.194988458,0.9021787832
Africa,1992,2371.808236,1.192425277,0.8965862366
Africa,1993,2403.928635,1.188271622,0.9072625549
Africa,1994,2443.138731,1.183748843,0.9290186016
Africa,1995,2490.528851,1.179924961,0.9429943941
Africa,1996,2547.405974,1.177634117,0.9500521396
Africa,1997,2615.340675,1.176733218,0.9555513028
Africa,1998,2695.955017,1.176340913,0.9602776092
Africa,1999,2789.883051,1.175948205,0.9570539617
Africa,2000,2896.309377,1.175832759,0.9646749968
Africa,2001,3013.503262,1.175864645,0.9620169348
Africa,2002,3139.049482,1.175802299,0.9568750782
Africa,2003,3271.706381,1.175517932,0.9790836076
Africa,2004,3411.909914,1.175122606,0.9927985226
Africa,2005,3560.856441,1.175029935,0.9972480125
Africa,2006,3716.462288,1.175496122,1.004268444
Africa,2007,3863.083631,1.176215384,1.011527254
Africa,2008,3978.210632,1.176459734,1.02408963
Africa,2009,4073.495879,1.175310985,1.023478753
Africa,2010,4168.9564,1.172238705,1.033372861
Africa,2011,4268.539896,1.167373369,1.042592049
Africa,2012,4351.481017,1.15853326,1.042758498
Africa,2013,4439.180784,1.148624973,1.044952991
Africa,2014,4527.697454,1.138414011,1.063121152
Africa,2015,4615.848593,1.128063916,1.057316812
Africa,2016,4703.14244,1.117570886,1.065477779
Africa,2017,4789.23862,1.106920218,1.068749354
Africa,2018,4873.881453,1.096094782,1.065814402
Africa,2019,4956.937548,1.085080404,1.088309895
Africa,2020,5038.428531,1.07387098,1.065690593
Africa,2021,5118.514098,1.062450818,1.083289855
Africa,2022,5197.355716,1.050827201,1.07918759
Developed,1952,7670.848393,6.601707856,1.749468018
Developed,1953,8036.330497,6.795651668,1.768976627
Developed,1954,8405.77875,6.991893703,1.773646571
Developed,1955,8779.368068,7.190701127,1.837704125
Developed,1956,9157.093073,7.392395624,1.883592983
Developed,1957,9538.709999,7.597167282,1.898066045
Developed,1958,9923.748936,7.804910991,1.887065439
Developed,1959,10311.5556,8.015187297,1.908668079
Developed,1960,10701.35602,8.22727074,1.952363408
Developed,1961,11092.24628,8.440011143,1.972691207
Developed,1962,11484.9793,8.652367329,2.01332748
Developed,1963,11891.82802,8.869590383,2.062392073
Developed,1964,12360.11345,9.145509895,2.109205188
Developed,1965,12850.35358,9.447395466,2.144686451
Developed,1966,13358.58116,9.76922458,2.185343564
Developed,1967,13875.55147,10.09546195,2.221305754
Developed,1968,14392.72134,10.41316432,2.27084564
Developed,1969,14906.2385,10.71803077,2.330695056
Developed,1970,15415.27243,11.01150582,2.417862186
Developed,1971,15917.78384,11.29435765,2.443956448
Developed,1972,16405.64281,11.55964831,2.49208227
Developed,1973,16870.10473,11.79519892,2.546834974
Developed,1974,17305.87113,11.99263265,2.531064094
Developed,1975,17710.26154,12.14747471,2.514968597
Developed,1976,18085.2964,12.25741262,2.577810748
Developed,1977,18439.24652,12.32598805,2.599196676
Developed,1978,18783.63922,12.36135349,2.622131313
Developed,1979,19127.76675,12.37560281,2.653114888
Developed,1980,19476.73638,12.3809893,2.714233931
Developed,1981,19833.52378,12.38335495,2.676554688
Developed,1982,20200.42658,12.38494862,2.646327932
Developed,1983,20574.6256,12.38384324,2.643010877
Developed,1984,20949.61534,12.37478599,2.677233679
Developed,1985,21324.5029,12.35693201,2.709878889
Developed,1986,21705.19447,12.33381211,2.71124665
Developed,1987,22095.5205,12.3077668,2.730897959
Developed,1988,22495.28354,12.28154702,2.76645695
Developed,1989,22904.5316,12.25682061,2.777044069
Developed,1990,23326.23875,12.23159553,2.810050365
Developed,1991,23767.97305,12.20174083,2.781830706
Developed,1992,24235.47147,12.1662167,2.740879782
Developed,1993,24727.18936,12.12530044,2.72665326
Developed,1994,25238.46026,12.07922272,2.711953897
Developed,1995,25768.40357,12.03087621,2.721282999
Developed,1996,26323.17818,11.98704018,2.748851356
Developed,1997,26912.65007,11.95664314,2.741300289
Developed,1998,27545.54952,11.94449797,2.735374204
Developed,1999,28229.50328,11.94877668,2.742501665
Developed,2000,28965.22632,11.96202003,2.767929874
Developed,2001,29713.67099,11.97314532,2.770606284
Developed,2002,30412.35509,11.97109989,2.776070958
Developed,2003,31053.67641,11.95011525,2.798286982
Developed,2004,31670.2272,11.91073182,2.810698289
Developed,2005,32279.10375,11.85654084,2.812796935
Developed,2006,32879.57409,11.78928281,2.813518848
Developed,2007,33466.494,11.70797338,2.823893683
Developed,2008,34037.67431,11.61134966,2.79272022
Developed,2009,34595.79309,11.49947187,2.700715257
Developed,2010,35141.75166,11.37357531,2.749636505
Developed,2011,35668.84858,11.23503746,2.738954644
Developed,2012,36190.81459,11.08560124,2.721730007
Developed,2013,36717.19208,10.93323778,2.720075184
Developed,2014,37241.63122,10.78025582,2.697848115
Developed,2015,37764.51018,10.62738916,2.682286724
Developed,2016,38287.11557,10.47486832,2.668189492
Developed,2017,38810.42635,10.32278352,2.668566139
Developed,2018,39335.07024,10.17115908,2.679694642
Developed,2019,39861.25071,10.01990792,2.647843572
Developed,2020,40388.69149,9.868777578,2.541070269
Developed,2021,40916.74733,9.717502461,2.601446998
Developed,2022,41444.82411,9.566057175,2.584034008
Developing Asia and Oceania,1952,1189.451742,0.181372813,0.7792479528
Developing Asia and Oceania,1953,1208.471465,0.2097863683,0.7828878878
Developing Asia and Oceania,1954,1227.791372,0.2381604697,0.7955325539
Developing Asia and Oceania,1955,1247.46086,0.2664834297,0.8143497228
Developing Asia and Oceania,1956,1267.533369,0.2947508644,0.8260153859
Developing Asia and Oceania,1957,1288.057482,0.3229616312,0.8402529629
Developing Asia and Oceania,1958,1309.048541,0.3511228383,0.9180653838
Developing Asia and Oceania,1959,1330.472543,0.379256603,0.9710665993
Developing Asia and Oceania,1960,1352.22207,0.4074076425,0.9981352205
Developing Asia and Oceania,1961,1374.069412,0.4356685649,0.9467158206
Developing Asia and Oceania,1962,1395.665035,0.4642531325,0.9259863505
Developing Asia and Oceania,1963,1417.341136,0.4933472814,0.9328846366
